season_number,season_id,event_status,processed_events,failed_events_total,teams_total,teams_below_8,teams_above_max,roster_min,roster_max,roster_avg,contracts_created,renewals_or_recontracts,rookie_contracts_created,contracts_expired_active_now,retired_players,free_agent_listings_created,free_agent_active,free_agent_signed,youth_generated,youth_in_academy,youth_signed,youth_released_to_rookie_market,youth_free_market,rookie_market_listings,rookie_market_active,rookie_market_signed,rookie_market_protected_active,auto_fill_players_joined,academy_players_joined,rookie_market_players_joined,free_market_players_joined,avg_wage_pressure_pct,max_wage_pressure_pct,teams_over_wage_cap,min_balance,avg_balance,avg_state_score,min_state_score,max_state_score,players_hot,players_good,players_neutral,players_low,avg_contract_score,avg_recent_match_score,avg_fitness_score,avg_match_load_score,avg_match_rust_score,training_sessions,training_breakthroughs,transfer_listings_created,transfer_offers_sent,transfer_counter_offers,transfer_final_offers,transfer_completed,transfer_releases,transfer_auto_or_expired,avg_fatigue,avg_fitness,players_fatigue_over_75,players_fitness_below_50,avg_attr_progress_total,players_ovr_100,players_ovr_95_plus,players_potential_s,total_attrs_at_20,players_with_attr_20,avg_attrs_at_20_per_player,injuries_created,injuries_minor,injuries_medium,injuries_major,active_injuries,active_medium_major_injuries,avg_max_body_wear,players_body_wear_over_70,players_body_wear_over_90,invariants_failed,warnings,medical_treatments_total,medical_aggressive_total,medical_cost_total,medical_reserve_paid_total,medical_cash_paid_total,reserve_spent_total,reserve_auto_total,teams_reserve_depleted,avg_reserve_usage_pct,median_reserve_usage_pct,off_budget_medical_pct
1,79ea70be-00df-467e-b5a5-e6beb5955c68,ok,1200,0,256,0,0,13,17,15.84,1297,44,0,44,31,2068,1825,243,2071,0,26,2045,2045,2045,1825,220,0,0,246,220,0,23.03,30.94,0,4443341.12,15788014.74,0.47,-5,5,0,1229,2327,499,-0.21,0.79,0.29,-0.63,-0.77,260598,45782,562,161,20,3,12,0,15,6.27,93.37,0,0,2.22,0,0,32,12,12,0.003,840,743,75,22,13,1,1.6,0,0,0,,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
2,a3e89db3-e058-4f82-915f-c07496e94ca2,ok,1249,0,256,0,0,14,17,16.16,1547,728,0,18,39,2028,1767,261,2055,0,39,2016,2016,2016,1767,249,0,0,288,249,0,24.71,44.96,0,8487962.59,17400562.25,0.13,-6,5,0,1202,2032,904,-0.37,0.67,0.33,-0.7,-0.81,271977,63870,598,158,1,0,1,0,0,6.1,93.34,0,0,3.31,0,0,48,9,9,0.002,898,783,96,19,18,0,1.61,0,0,0,,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
3,6a442b14-f793-40f1-8ddb-f7336a45d2c5,ok,1156,0,256,0,0,15,17,16.18,1969,1137,0,17,66,2013,1707,306,2049,0,52,1997,1997,1997,1707,290,0,0,342,290,0,28.26,49.93,0,10901172.98,19022186.81,0.07,-6,5,0,1312,1650,1180,-0.51,0.67,0.44,-0.74,-0.79,276801,59768,585,131,0,0,0,0,0,6.02,93.53,0,0,4.43,0,0,56,9,9,0.002,811,714,79,18,14,1,1.54,0,0,0,,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
