season_number,season_id,team_id,team_name,is_ai,league_id,roster_count,roster_avg_ovr,team_top8_ovr,youth_budget,locked_budget_total,youth_budget_pct,budget_tier,academy_generated,academy_signed,academy_in_academy,academy_free_market,avg_youth_age,avg_youth_ovr,max_youth_ovr,avg_potential_max,max_potential_max,avg_prospect_score,best_prospect_score,useful_prospect_count,useful_prospect_rate,unusable_prospect_count,fast_growth_count,normal_growth_count,slow_growth_count,potential_s_count,potential_a_count,potential_b_or_lower_count
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,016620af-f0ae-48dc-8c79-7bdd884f4af4,绿白贝蒂,True,cf996aeb-6572-4936-9fa9-404e07d69ea5,16,57.69,65.0,326000.0,3260000.0,10.0,low,8,0,0,8,16.62,40.5,41.0,68.25,81.0,60.99,68.45,6,75.0,2,6,2,0,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,020134ed-6baa-48a8-b159-91a0bbd52b29,东北虎啸,True,bb3c2908-5d6c-48a7-810c-4c53c3dfc217,16,62.44,73.62,913000.0,4150000.0,22.0,high,9,3,0,6,17.11,42.0,47.0,79.67,96.0,62.95,75.05,6,66.67,3,2,5,2,1,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,026a2a31-418b-4b19-b547-c316f32f3e0c,清真寺塔,True,b8cb101b-7158-4936-af2c-4b2cd7dac568,16,58.5,64.88,326000.0,3260000.0,10.0,low,8,0,0,8,17.88,40.5,46.0,68.38,92.0,55.79,67.4,4,50.0,4,1,6,1,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,02fde6d9-88f1-47a6-80dc-d3d2a7ca9b6d,拉普拉塔,True,d739ec1f-cbad-4c2a-9cb2-7e328addd26c,17,65.41,74.38,415000.0,4150000.0,10.0,low,8,0,0,8,17.75,39.75,41.0,68.38,81.0,55.38,63.85,1,12.5,7,2,3,3,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,03464458-cc6f-4a0f-b155-dc92b4b7432c,西班牙人,True,f4032255-0a9c-4f56-8438-2a61db0ed609,16,59.69,67.88,370000.0,3700000.0,10.0,low,8,0,0,8,18.25,39.5,41.0,68.25,75.0,52.94,56.5,2,25.0,6,1,2,5,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,0388ce48-33f3-4fd0-bf35-7545ba18c1e4,野马奔腾,True,ffc9e5fb-6bd2-4cdb-820f-42b3573c948b,16,49.19,56.0,283000.0,2830000.0,10.0,low,8,0,0,8,18.38,40.0,42.0,68.38,93.0,55.27,66.4,5,62.5,3,2,4,2,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,04e515f9-7774-42c8-890d-9e61f7cb1cc4,玛瑙石红,True,ad4f56a1-ea13-48f6-81f0-d7b788d4aa1a,15,49.0,55.5,283000.0,2830000.0,10.0,low,8,0,0,8,17.75,39.12,40.0,68.38,84.0,54.29,63.8,5,62.5,3,0,6,2,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,07d05f22-84d9-44a0-aeb0-9c72e00830ef,红宝石矿,True,ad4f56a1-ea13-48f6-81f0-d7b788d4aa1a,17,52.0,58.12,283000.0,2830000.0,10.0,low,8,0,0,8,18.0,39.38,40.0,60.5,84.0,49.63,69.25,2,25.0,6,1,2,5,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,080818a2-ebe4-4d22-9826-9a6cb074784f,武当太极,True,f5943c55-7c21-4973-9d7b-523bca1c6a42,16,53.81,60.12,283000.0,2830000.0,10.0,low,8,0,0,8,17.88,39.62,41.0,65.88,82.0,53.94,60.6,5,62.5,3,1,5,2,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,083ce8cd-3f14-4058-b7d1-0051ce38f223,青金石蓝,True,ad4f56a1-ea13-48f6-81f0-d7b788d4aa1a,15,49.53,55.5,283000.0,2830000.0,10.0,low,8,0,0,8,18.12,40.25,43.0,69.25,91.0,55.3,62.6,6,75.0,2,1,5,2,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,087d2e37-78e0-418c-b18d-73b6bb836759,桑巴学校,True,15411d21-121d-42fa-852e-ff46757e782b,17,57.82,67.12,717200.0,3260000.0,22.0,high,10,2,0,8,17.3,40.8,46.0,73.3,97.0,59.02,72.75,4,40.0,6,2,6,2,1,2,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,0a28dda9-7a6a-4405-a01f-fd1e4b1e3029,华山剑客,True,f5943c55-7c21-4973-9d7b-523bca1c6a42,17,49.71,57.75,622600.0,2830000.0,22.0,high,9,1,0,8,17.44,41.11,48.0,78.56,91.0,60.85,74.15,8,88.89,1,1,6,2,0,3,6
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,0a6a6c87-11ba-4ab7-a599-01c770baa564,马赛勇士,True,14a32062-22b5-4461-8fcd-cdaf1fcc29d8,16,50.94,57.38,283000.0,2830000.0,10.0,low,8,0,0,8,17.88,39.75,41.0,66.5,89.0,54.79,67.5,5,62.5,3,2,4,2,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,0a6e11de-4d2a-4445-8d40-015ac925cd50,蓝黑战士,True,af3a0fa4-6200-41b8-b701-ab80973d7690,15,51.27,58.0,283000.0,2830000.0,10.0,low,8,0,0,8,18.12,39.88,42.0,59.75,75.0,49.07,53.75,3,37.5,5,0,3,5,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,0ad1bc28-71e5-4f36-8629-297a691a4cff,克鲁格园,True,4ac91113-461f-4cce-a77b-f9192e8d69a8,17,51.0,56.88,283000.0,2830000.0,10.0,low,8,0,0,8,18.25,39.88,41.0,68.25,87.0,54.14,63.05,7,87.5,1,1,4,3,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,0cb22382-41f9-4547-bf14-20e6b8893098,南海蛟龙,True,bb3c2908-5d6c-48a7-810c-4c53c3dfc217,16,77.56,82.62,580000.0,5800000.0,10.0,low,8,0,0,8,18.12,40.38,45.0,70.25,82.0,55.07,63.15,0,0.0,8,1,3,4,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,0e935059-aa4d-4c56-aaa9-e9c42756ba24,药厂勒沃,True,f4032255-0a9c-4f56-8438-2a61db0ed609,16,51.75,57.5,283000.0,2830000.0,10.0,low,8,0,0,8,18.25,39.75,41.0,65.5,77.0,54.09,56.85,5,62.5,3,2,4,2,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,0f19771f-6487-4af3-8f57-f35ac276f41e,阿拉伯夜,True,281a174c-b641-4c1a-a40f-cf8c335ee406,16,76.19,82.88,580000.0,5800000.0,10.0,low,8,0,0,8,18.0,42.5,48.0,70.12,82.0,57.43,62.9,0,0.0,8,1,5,2,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,0f99d002-182f-401f-b712-63e283a9dd38,美丽游戏,True,7549124e-1632-4bbc-ab28-75242c594e4b,16,75.12,81.12,580000.0,5800000.0,10.0,low,8,0,0,8,17.62,40.75,44.0,66.88,87.0,55.76,65.75,1,12.5,7,3,2,3,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,0ffaadd6-0c3b-451f-8a1d-41fd33c84c06,Medina之光,True,b8cb101b-7158-4936-af2c-4b2cd7dac568,16,58.94,65.88,326000.0,3260000.0,10.0,low,8,0,0,8,17.88,40.0,46.0,72.75,91.0,57.24,64.4,3,37.5,5,1,5,2,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,116f0d2a-3120-434a-a771-d4f4fbf48a5b,复活节岛,True,4ac91113-461f-4cce-a77b-f9192e8d69a8,17,58.35,65.12,370000.0,3700000.0,10.0,low,8,0,0,8,18.0,40.12,41.0,65.0,75.0,54.32,59.3,3,37.5,5,2,5,1,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,11874e73-cbc1-47de-a0cc-cd2845b2ca22,青龙偃月,True,c06b413f-6b4d-4d73-bc7c-35a6b7a1b0ac,17,74.47,81.75,1139600.0,5180000.0,22.0,high,10,2,0,8,16.9,43.9,52.0,78.6,92.0,64.91,77.8,4,40.0,6,3,7,0,0,4,6
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,1299975a-9f32-447c-9526-d90addf562d5,雪山神鹰,True,3cf17b72-9e62-4490-884a-aca3efb207a7,16,60.0,67.12,326000.0,3260000.0,10.0,low,8,0,0,8,17.5,39.75,41.0,67.5,92.0,55.74,64.65,3,37.5,5,3,2,3,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,139e9fbe-c667-4031-a961-9e2bb0b355db,撒丁岛卡,True,a04746ab-305d-4181-b5d1-17efeb31e94f,15,52.13,57.12,245000.0,2450000.0,10.0,low,8,0,0,8,17.25,39.88,42.0,68.0,83.0,57.28,68.8,5,62.5,3,4,2,2,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,17a5a07e-2add-4a7d-ba22-f720b8d81372,驼峰运输,True,6b1a854c-d781-4344-aad8-805b6e67bfa1,16,58.06,64.75,326000.0,3260000.0,10.0,low,8,0,0,8,17.88,40.0,42.0,75.25,92.0,58.61,64.7,4,50.0,4,1,6,1,0,2,6
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,1956c151-3497-42c8-9bc3-d0e01e21ae64,辛巴达航,True,281a174c-b641-4c1a-a40f-cf8c335ee406,16,76.75,83.25,518000.0,5180000.0,10.0,low,8,0,0,8,17.75,42.12,46.0,75.75,82.0,60.26,68.2,0,0.0,8,1,6,1,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,1b705781-5bc1-48cb-85e0-3cfc9e55ab88,老鹰水晶宫,True,643ce6ab-4c8d-496c-8ad7-d14d74fb2a10,16,67.25,75.5,467000.0,4670000.0,10.0,low,8,0,0,8,17.38,39.88,41.0,65.75,76.0,55.27,66.2,1,12.5,7,3,2,3,0,0,8
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,1bdc89d2-a6db-41e4-878a-6de15a7f0032,雄鹰法兰,True,cf996aeb-6572-4936-9fa9-404e07d69ea5,17,48.65,55.0,622600.0,2830000.0,22.0,high,8,0,0,8,16.75,40.25,41.0,79.88,90.0,64.08,67.9,8,100.0,0,5,1,2,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,1c0fdd3c-925c-4bf0-bf10-340535bd155e,一千零一夜,True,281a174c-b641-4c1a-a40f-cf8c335ee406,16,76.44,82.75,518000.0,5180000.0,10.0,low,8,0,0,8,18.0,41.25,46.0,66.25,90.0,55.5,64.5,1,12.5,7,3,3,2,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,1cceed7c-ed29-4850-a29f-fa5a30f10426,沙漠玫瑰,True,64bb8ef6-0733-4a11-9184-a9cc5882be35,16,51.62,58.12,539000.0,2450000.0,22.0,high,8,0,0,8,17.5,42.38,49.0,72.88,93.0,59.35,68.4,7,87.5,1,1,5,2,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,1cd46ea2-4bb2-47bf-aa38-b66f64709a97,斑马条纹,True,d40b5c78-d0eb-4e16-84f8-9106662d6ea6,16,47.38,53.12,283000.0,2830000.0,10.0,low,8,0,0,8,17.88,39.75,41.0,73.0,93.0,57.46,67.9,7,87.5,1,2,4,2,0,1,7
1,bd22bdd0-bd0b-448e-9c29-8abef6310546,1f56be12-67dd-463b-aeb4-bfac311277ce,五人制王,True,283e8ed7-dc98-45ee-b4fb-48b0d3f90cf1,17,74.82,82.5,580000.0,5800000.0,10.0,low,8,0,0,8,18.12,43.5,55.0,71.88,84.0,58.02,70.05,0,0.0,8,0,7,1,0,0,8
