season_number,season_id,team_id,team_name,is_ai,roster_count,injuries_created,injuries_minor,injuries_medium,injuries_major,training_injuries,match_injuries,active_injuries,active_medium_major_injuries,avg_max_body_wear,max_body_wear,players_body_wear_over_70,players_body_wear_over_90
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,60a04a4b-6df1-4e32-a7bc-68776a385a86,设拉子酒,True,16,8,7,1,0,4,4,0,0,0.78,1.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,61ab2691-a159-4e1a-a1d7-4a16c903ab94,沙漠玫瑰,True,17,2,2,0,0,1,1,0,0,1.32,1.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,620ab27f-f4c9-484d-ad85-b88180b2bf58,马里帝国,True,17,4,4,0,0,3,1,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,623c06a9-a30a-4bd4-8e29-48f10df92c69,那不勒斯,True,16,4,4,0,0,4,0,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,6389f794-4ebc-4cd5-a507-216bfbad5745,马丘比丘,True,16,7,6,1,0,2,5,0,0,0.07,1.2,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,6493de21-509e-4109-afcf-ce60120ae37d,里约狂欢,True,17,3,3,0,0,3,0,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,676a5416-929a-4ae2-aaea-2adafe7e7f70,丝路驼铃,True,17,7,7,0,0,2,5,0,0,2.98,3.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,68694a58-7731-42d2-8dcf-c6f25948a2af,马穆鲁克,True,17,3,2,1,0,2,1,1,0,0.48,1.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,68bf5a52-1c38-4b6c-b3e4-4ab1b7c50cfe,东北虎啸,True,17,1,1,0,0,1,0,0,0,3.12,3.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,6907c429-2dbb-4fbc-9055-1164a7af9ffa,银龙出海,True,17,1,1,0,0,0,1,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,694d2373-8e8d-498c-a51f-90db06f1ff51,蓝衣军团,True,16,1,1,0,0,1,0,0,0,1.39,2.4,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,6a5387c1-7798-4d0b-aef5-87865e2df24f,伊斯法罕,True,17,2,2,0,0,1,1,0,0,0.34,4.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,6b4393e6-c532-409b-be86-40c3930ee94b,红宝石矿,True,17,2,0,2,0,0,2,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,6cce5283-6611-4cb8-8b9d-a747fb9a7b5d,华南虎威,True,16,1,1,0,0,1,0,0,0,1.05,16.74,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,6e4c18ef-22ee-42dc-996a-5d28e2e51aed,大马士革,True,16,5,4,1,0,4,1,0,0,1.26,2.4,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,6faf8572-3a96-4145-b8f5-3b8304fc486f,白虎啸天,True,16,2,2,0,0,1,1,0,0,1.27,2.4,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,71c88dd9-84d5-4415-8a2e-0393e0a55b8d,铁锤帮西汉,True,17,3,3,0,0,3,0,0,0,3.04,18.4,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,727ee9ce-e0e3-48c4-95a3-c8c8e3976150,金刚鹦鹉,True,16,8,7,1,0,5,3,0,0,2.41,2.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,7362d4e1-093b-469d-b35c-3b9df1e7f633,斗牛士团,True,16,0,0,0,0,0,0,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,73ad676d-fae2-4a8a-b69d-06d881cb694c,撒哈拉南,True,17,2,2,0,0,2,0,0,0,0.14,2.43,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,76ea894a-a987-4cc7-84b6-efbaa896d142,维多利亚,True,16,2,1,1,0,0,2,0,0,2.08,2.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,77c184eb-17cd-4a60-b1ef-d2d25d067708,绿松石绿,True,15,3,2,1,0,0,3,0,0,3.84,4.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,7987e549-b84a-4aa9-9c81-9eb88cd8e9ab,萨拉丁军,True,16,6,6,0,0,4,2,0,0,1.91,11.89,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,79ff5611-2f63-4a90-9948-420586063a5f,白虹贯日,True,17,2,2,0,0,2,0,1,0,0.77,13.09,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,7afb3a3e-6663-4edc-b70c-e13ed8981547,金虎啸月,True,16,1,1,0,0,1,0,0,0,0.22,3.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,7b0ab1d7-80c9-4fc1-a7d0-99de970e3d88,星月传奇,True,17,1,1,0,0,0,1,0,0,2.23,2.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,7d71e69b-29f1-4c7d-8de4-bc6a2dccf449,朱雀焚霞,True,17,6,5,1,0,4,2,0,0,2.79,13.39,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,7dc1a3a9-470b-4a15-af2b-fed9f7ca88a6,十字军东,True,17,3,3,0,0,1,2,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,7dc3c021-193d-416e-bc57-45e6d3ed8e01,非洲雄狮,True,16,0,0,0,0,0,0,0,0,0.69,1.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,7fb53f55-06b4-4131-a874-be848d281649,峨眉女侠,True,17,3,3,0,0,2,1,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,80130085-d12e-47ab-81f1-c0b8fa674a06,街球之王,True,17,6,6,0,0,5,1,0,0,3.23,14.57,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,8346aebc-cac4-49bf-a1e2-6fdf6fdc9a60,飓风之眼,True,17,1,1,0,0,1,0,0,0,0.0,0.0,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,84567e7d-096b-4367-b958-4abdbaecad31,乞力马扎,True,16,5,4,1,0,3,2,0,0,4.66,5.5,0,0
2,2b6b23bb-e7cd-46fd-b899-a0a9e3a96237,86036b21-4fa9-47dc-a2fd-9728e0e18feb,红黑恶魔,True,17,0,0,0,0,0,0,0,0,0.0,0.0,0,0
