season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,rookie_market_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level,reserve_budget,reserve_spent,reserve_auto_used,reserve_medical_used,reserve_events_used,reserve_usage_pct,reserve_pct_of_locked,medical_count,medical_cost,medical_reserve_paid,medical_cash_paid,medical_enhanced,medical_specialist,medical_aggressive,medical_avg_days_reduced
1,455699c0-edca-4e58-9186-1ec5b18670d4,0b9a7f86-360b-4295-b69f-42ee0660d858,美因茨红,True,7ff219d0-b47c-42b9-b7d6-2a32b3b05b0f,4,1,27,14,8,3,3,32,22,10,17,50.47,57.12,68,3,0,2,1,0,0,1600000.0,433562.8,27.1,11128823.98,A,none,283000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,0c5913d1-a968-4f77-9bd7-8dbb0842a444,烈焰狂狮,True,bf993692-cc25-4836-a8ed-781ace50d868,4,8,9,14,2,3,9,13,24,-11,17,47.12,54.12,67,6,0,3,1,0,0,1600000.0,388407.8,24.28,13731428.31,A,none,283000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,0cdd587f-b078-46a9-9130-851515a04c65,尼罗河源,True,ba83a1a4-bb5d-4db8-bf96-877c50ef80d9,4,7,9,14,2,3,9,21,37,-16,17,49.53,56.0,64,7,0,3,0,0,0,1600000.0,388675.9,24.29,10870650.27,A,none,452800.0,0.0,0.0,0.0,0,0.0,16.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,0d3ab584-093e-41ce-b580-2dc3915a80c1,波斯勇士,True,753c13bc-5b11-4288-a2b7-517e110567f9,4,5,18,14,4,6,4,24,25,-1,17,51.12,56.38,65,6,0,3,0,0,0,1600000.0,429619.0,26.85,11168412.98,A,none,283000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,0e77fda0-b085-4ecc-be69-d9edd63ee18b,绿茵魔术师,True,e32b09f6-1cfe-46fd-9fd8-51bbc3b8ed97,1,8,11,14,2,5,7,33,48,-15,17,74.0,84.88,94,6,0,3,1,0,0,4200000.0,2593021.0,61.74,25085645.48,A,none,580000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,0fdd7d0d-5f4a-4c7f-9ea2-3da8a510ed44,水豚憨态,True,e3280d5a-2088-4379-ba29-192435a08b90,4,1,29,14,9,2,3,32,20,12,17,49.59,55.5,67,4,0,2,0,0,0,1600000.0,416841.8,26.05,11609213.48,A,none,245000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,10271437-03fe-4fcc-9f85-4e5af1678daf,巴格达城,True,83b81f38-9e0d-4388-97b9-2ae6edc40fc0,3,4,20,14,6,2,6,27,26,1,17,60.12,68.12,76,7,0,2,0,0,0,2250000.0,814904.0,36.22,16067943.98,A,none,489000.0,0.0,0.0,0.0,0,0.0,15.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,11c46e69-afc7-489f-81a7-fa0548bbede0,华山剑客,True,968d70dd-ab22-4da2-842f-37d16539d150,4,1,30,14,9,3,2,31,16,15,17,50.94,56.75,66,6,0,2,0,0,0,1600000.0,411340.6,25.71,11372323.52,A,none,343000.0,0.0,0.0,0.0,0,0.0,14.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,122cd567-26a5-483c-ba4f-307855a7737f,喜鹊纽卡,True,20e985d8-2a87-45f6-a555-df84b995e6f1,1,4,23,14,7,2,5,42,34,8,17,74.59,84.12,90,3,0,2,0,0,0,4200000.0,2350959.0,55.98,25575845.0,A,none,580000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
1,455699c0-edca-4e58-9186-1ec5b18670d4,1350c62d-2cc8-493b-8a4c-486191e99643,斯图加特,True,7ff219d0-b47c-42b9-b7d6-2a32b3b05b0f,4,5,21,14,7,0,7,23,26,-3,17,51.76,60.25,72,6,0,2,0,0,0,1600000.0,399783.9,24.99,11191182.23,A,none,283000.0,0.0,0.0,0.0,0,0.0,10.0,0,0,0,0,0,0,0,0.0
