loop_index,season_id,season_day,fixture_id,fixture_type,side,team_id,opponent_team_id,formation_id,passing_style,attack_width,attack_tempo,defensive_line_height,crossing_strategy,shooting_mentality,playmaker_focus,pressing_intensity,defensive_compactness,marking_strategy,offside_trap,tackling_aggression,starter_count,starter_avg_ovr,starter_avg_lineup_score,starter_avg_state,starter_avg_fitness,starter_low_form_count,starter_gk,starter_df,starter_mf,starter_fw,bench_count,bench_avg_ovr,bench_avg_lineup_score,bench_avg_state,bench_avg_fitness,starter_bench_lineup_score_gap,starter_bench_state_gap,starter_bench_fitness_gap
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,19636a8c-ce5f-4f43-a12d-18128c267c7f,league,home,3b6559c1-850d-4b00-b678-3c19f45b3c92,0270c2b4-c161-47a1-945c-833f0194093f,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,80.0,83.0,0.0,100.0,0,1,2,4,1,5,71.4,74.4,0.0,100.0,8.6,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,19636a8c-ce5f-4f43-a12d-18128c267c7f,league,away,0270c2b4-c161-47a1-945c-833f0194093f,3b6559c1-850d-4b00-b678-3c19f45b3c92,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,72.88,75.88,0.0,100.0,0,1,2,4,1,5,63.8,66.8,0.0,100.0,9.08,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,1a3d2d18-2374-483d-aa30-7cacaf08ee4d,league,home,bb14db40-e538-48aa-b241-97fdaabfa601,45331d3c-114b-4942-809b-443b1cf49216,F04,1,2,4,1,2,2,0,1,2,0,0,1,8,72.12,75.12,0.0,100.0,0,1,3,2,2,5,61.6,64.6,0.0,100.0,10.52,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,1a3d2d18-2374-483d-aa30-7cacaf08ee4d,league,away,45331d3c-114b-4942-809b-443b1cf49216,bb14db40-e538-48aa-b241-97fdaabfa601,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,76.38,79.38,0.0,100.0,0,1,2,4,1,5,66.0,69.0,0.0,100.0,10.38,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,1a9f87ca-7c4d-4603-a649-9a33c7c851a2,league,home,d5120be3-4bdc-4c98-9358-388cf15989f6,c695cb41-de5e-4eaa-afe0-bb8bf07ba7cb,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,69.0,72.0,0.0,100.0,0,1,2,4,1,5,61.4,64.4,0.0,100.0,7.6,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,1a9f87ca-7c4d-4603-a649-9a33c7c851a2,league,away,c695cb41-de5e-4eaa-afe0-bb8bf07ba7cb,d5120be3-4bdc-4c98-9358-388cf15989f6,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,71.5,74.5,0.0,100.0,0,1,2,4,1,5,63.4,66.4,0.0,100.0,8.1,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,1c572fc2-20c3-433e-af39-46187426ce22,league,home,ffae97dd-9e5a-46e9-bd5d-6ffd312be181,a0719c39-4d18-4b8e-b786-f11fe2b8eefd,F06,1,2,4,1,2,2,0,1,2,0,0,1,8,63.62,66.62,0.0,100.0,0,1,3,3,1,5,57.6,60.6,0.0,100.0,6.02,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,1c572fc2-20c3-433e-af39-46187426ce22,league,away,a0719c39-4d18-4b8e-b786-f11fe2b8eefd,ffae97dd-9e5a-46e9-bd5d-6ffd312be181,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,68.0,71.0,0.0,100.0,0,1,2,4,1,5,58.2,61.2,0.0,100.0,9.8,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,1cddafdb-2182-4d6c-8995-feee43cd1d41,league,home,e01d3251-2827-4045-a288-42539efc8234,75524635-18ee-4acd-bb85-7a5d38985b89,F02,2,2,3,4,2,3,0,4,1,2,2,3,8,70.75,73.75,0.0,100.0,0,1,2,2,3,5,64.2,67.2,0.0,100.0,6.55,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,1cddafdb-2182-4d6c-8995-feee43cd1d41,league,away,75524635-18ee-4acd-bb85-7a5d38985b89,e01d3251-2827-4045-a288-42539efc8234,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,69.38,72.38,0.0,100.0,0,1,2,4,1,5,64.4,67.4,0.0,100.0,4.98,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,22a57d8c-0df8-4d2c-8a66-ae82f6729cc3,league,home,a30ca023-c147-4f34-aacb-60f47ae5acb1,4528ec6d-e7de-4ca4-a839-1617cc838900,F02,2,2,3,4,2,3,0,4,1,2,2,3,8,73.88,76.88,0.0,100.0,0,1,2,2,3,5,63.8,66.8,0.0,100.0,10.08,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,22a57d8c-0df8-4d2c-8a66-ae82f6729cc3,league,away,4528ec6d-e7de-4ca4-a839-1617cc838900,a30ca023-c147-4f34-aacb-60f47ae5acb1,F03,2,2,3,4,2,3,0,4,1,2,2,3,8,76.25,79.25,0.0,100.0,0,1,1,3,3,5,66.4,69.4,0.0,100.0,9.85,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,23117602-f544-430a-89aa-8166e3a43ffc,league,home,77ffb293-d5bc-4bc9-9890-d7565e8c19a9,a9bab4aa-979c-43d2-8d81-1bd089369752,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,65.62,68.62,0.0,100.0,0,1,2,4,1,5,57.8,60.8,0.0,100.0,7.82,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,23117602-f544-430a-89aa-8166e3a43ffc,league,away,a9bab4aa-979c-43d2-8d81-1bd089369752,77ffb293-d5bc-4bc9-9890-d7565e8c19a9,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,68.38,71.38,0.0,100.0,0,1,2,4,1,5,60.6,63.6,0.0,100.0,7.78,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,250003f3-700b-494e-968a-a5de53f8cf89,league,home,70b236aa-0bde-4402-98c4-53489540dfe0,9bd13395-e355-4b46-a1a5-91263894607f,F02,2,2,3,4,2,3,0,4,1,2,2,3,8,82.62,85.62,0.0,100.0,0,1,2,2,3,5,74.2,77.2,0.0,100.0,8.42,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,250003f3-700b-494e-968a-a5de53f8cf89,league,away,9bd13395-e355-4b46-a1a5-91263894607f,70b236aa-0bde-4402-98c4-53489540dfe0,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,86.88,89.88,0.0,100.0,0,1,2,4,1,5,77.2,80.2,0.0,100.0,9.68,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,253afd63-b4fd-4921-8636-f84e35e211b4,league,home,31180c97-712e-4146-a5a3-0b00820c8a1f,548d645e-fd00-488d-b240-bcbc78cb6cac,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,82.62,85.62,0.0,100.0,0,1,2,4,1,5,71.2,74.2,0.0,100.0,11.42,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,253afd63-b4fd-4921-8636-f84e35e211b4,league,away,548d645e-fd00-488d-b240-bcbc78cb6cac,31180c97-712e-4146-a5a3-0b00820c8a1f,F07,4,2,1,3,1,1,2,2,2,1,1,1,8,83.5,86.5,0.0,100.0,0,1,2,4,1,5,73.0,76.0,0.0,100.0,10.5,0.0,0.0
1,91e5b61a-e55f-445b-bd1e-0a065dadabad,1,2626f00e-7be3-4c06-a89b-1ba141d2883b,league,home,03da49a8-bd25-49da-8e08-8854838945da,ea902300-b610-4bfb-b349-a9485172f274,F06,1,2,4,1,2,2,0,1,2,0,0,1,8,84.75,87.75,0.0,100.0,0,1,3,3,1,5,79.0,82.0,0.0,100.0,5.75,0.0,0.0
