season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,rookie_market_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,0fa74f65-e7fb-4f14-8c52-7b634a95dee8,狼堡沃尔夫,True,de56c9e6-63b1-4370-bc29-6517a02f70cd,4,7,14,14,4,2,8,22,28,-6,14,61.29,69.38,80,7,0,0,0,0,0,1600000.0,908552.0,56.78,5935754.58,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,102ce65e-e59d-4863-8e67-aa514fed7602,老鹰水晶宫,True,9367e21b-6e3a-4531-8dfb-0af639ae6a0d,2,8,10,14,2,4,8,20,32,-12,15,71.73,80.0,96,5,0,0,0,0,0,3100000.0,1844352.0,59.5,11908459.35,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,119e7558-6e26-466f-96d7-37a30d765b77,阿拉维斯,True,f6133552-fe86-45c0-b38c-2db8b01a5519,3,8,9,14,2,3,9,13,26,-13,15,65.73,70.62,77,6,0,0,0,0,0,2250000.0,1126745.0,50.08,9354608.89,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,11fbf46f-5233-405a-83dc-0e6238a4b678,霍村霍芬,True,b785d06a-d78a-428c-91f0-ff4a9f469f4b,4,2,21,14,6,3,5,22,22,0,13,60.92,66.75,75,7,0,0,0,0,0,1600000.0,787634.0,49.23,6115434.2,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,13ad2944-3ec7-4ec5-87d6-19e0eb43b2e3,红军利物浦,True,2d17195f-6693-4497-b01a-83f4fc30c946,1,4,19,14,5,4,5,30,28,2,14,74.79,79.62,91,5,0,0,0,0,0,4200000.0,1929372.0,45.94,15614205.77,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,14af1578-ce27-4594-9477-7fb7fcc2df95,乞力马扎,True,1124dfd9-90be-479e-a29f-a23303cd7902,4,1,22,14,6,4,4,21,11,10,14,64.86,71.12,84,4,0,0,0,0,0,1600000.0,1094393.0,68.4,5857041.98,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,16eb7054-eb6c-45c9-8764-2d42ec8efaac,设拉子酒,True,0ffb4d3f-f9b6-4842-89bd-f17abe7c33e0,4,1,38,14,12,2,0,44,16,28,15,65.93,76.25,91,5,0,0,0,0,0,1600000.0,1323436.0,82.71,5466545.3,B,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,179def1b-c245-42c7-a39c-6de91882b237,智利红酒,True,698db303-c978-44e4-a85a-c086ddf13168,3,7,15,14,4,3,7,18,21,-3,15,67.53,74.12,80,5,0,0,0,0,0,2250000.0,1189067.0,52.85,9224709.7,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,17c25bce-2abb-4a31-93bf-c49aa9a583ab,三狮军团,True,2d17195f-6693-4497-b01a-83f4fc30c946,1,5,18,14,5,3,6,25,28,-3,15,79.67,88.25,95,7,0,0,0,0,0,4200000.0,2864600.0,68.2,14210170.45,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,1810d612-ed34-4743-b1b9-1548cf7e56a5,水手桑普,True,e300379f-18d3-4ef4-84e4-ba515ccb5d34,4,8,8,14,1,5,8,20,29,-9,15,59.27,63.5,72,3,0,0,0,0,0,1600000.0,683118.0,42.69,6384923.8,A,none
